Window_index,Stage,MAE,SD of absolute error,MAPE,RMSE,Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Training,1644.38,1335.78,3.49,2116.57,86.32,212,0,0,74.22707390785217,1
2,Training,1636.59,1321.18,3.50,2101.35,85.85,212,0,0,1.4654605388641357,1
3,Training,1603.16,1288.49,3.44,2054.87,85.85,212,0,0,1.3432044982910156,1
4,Training,1515.06,1244.9,3.26,1959.05,86.32,212,0,0,1.3925960063934326,1
5,Training,1461.86,1237.14,3.18,1913.2,88.21,212,0,0,1.5133285522460938,1
6,Training,1438.31,1257.63,3.14,1908.64,88.21,212,0,0,1.5037436485290527,1
7,Training,1430.44,1286.5,3.15,1921.83,87.26,212,0,0,1.4854843616485596,1
8,Training,1404.14,1259.34,3.09,1884.16,87.26,212,0,0,1.468101978302002,1
9,Training,1399.54,1225.32,3.09,1858.24,88.68,212,0,0,1.4140186309814453,1
10,Training,1401.56,1200.91,3.12,1843.84,89.15,212,0,0,1.3325326442718506,1
11,Training,1368.4,1190.9,3.06,1812.2,89.62,212,0,0,1.1327910423278809,1
12,Training,1328.09,1160.49,3.00,1761.87,90.09,212,0,0,1.0789275169372559,1
13,Training,1414.07,1376.29,3.21,1971.0,88.68,212,0,0,1.3442838191986084,1
14,Training,1448.31,1411.08,3.30,2019.74,87.74,212,0,0,1.5182840824127197,1
15,Training,1484.69,1413.96,3.38,2047.97,87.26,212,0,0,1.4848358631134033,1
16,Training,1504.19,1409.02,3.44,2058.77,85.85,212,0,0,1.4918861389160156,1
17,Training,1447.6,1373.49,3.33,1993.27,86.79,212,0,0,1.496847152709961,1
18,Training,1371.97,1323.68,3.16,1904.25,88.68,212,0,0,1.4712722301483154,1
19,Training,1318.54,1279.01,3.06,1834.86,91.04,211,1,0,1.5034804344177246,1
20,Training,1296.72,1238.31,3.00,1791.0,92.45,212,0,0,1.3236935138702393,1
21,Training,1259.37,1200.9,2.93,1738.21,92.45,212,0,0,1.2312066555023193,1
22,Training,1248.6,1151.21,2.91,1696.48,92.92,212,0,0,1.5186278820037842,1
23,Training,1286.13,1156.34,2.98,1727.7,92.45,212,0,0,1.5201334953308105,1
24,Training,1280.27,1139.82,2.97,1712.35,92.45,212,0,0,1.4905195236206055,1
25,Training,1342.62,1174.36,3.08,1781.93,92.45,212,0,0,1.501861333847046,1
26,Training,1368.53,1150.03,3.13,1785.83,92.45,212,0,0,1.3805186748504639,1
27,Training,1357.22,1149.93,3.11,1777.12,92.45,212,0,0,1.3970832824707031,1
28,Training,1379.81,1145.75,3.15,1791.77,92.45,212,0,0,1.4545831680297852,1
29,Training,1373.4,1142.69,3.14,1784.88,92.45,212,0,0,1.4607810974121094,1
30,Training,1374.12,1134.08,3.14,1779.96,92.45,212,0,0,1.3614025115966797,1
31,Training,1333.66,1093.33,3.05,1722.9,93.4,212,0,0,1.509037971496582,1
32,Training,1338.35,1088.29,3.06,1723.36,93.4,212,0,0,1.4822041988372803,1
33,Training,1325.94,1084.01,3.03,1711.04,93.4,212,0,0,1.5007011890411377,1
34,Training,1333.95,1089.4,3.04,1720.64,92.92,212,0,0,1.4914166927337646,1
35,Training,1330.87,1094.45,3.03,1721.45,92.92,212,0,0,1.396744966506958,1
36,Training,1359.1,1095.8,3.09,1744.21,92.92,212,0,0,1.4426836967468262,1
37,Training,1364.96,1099.12,3.10,1750.85,92.92,212,0,0,1.3189172744750977,1
38,Training,1376.65,1095.83,3.12,1757.94,93.4,212,0,0,1.3143839836120605,1
39,Training,1393.2,1102.64,3.15,1775.13,93.4,212,0,0,1.4273412227630615,1
40,Training,1385.52,1104.58,3.13,1770.31,93.4,212,0,0,1.4895968437194824,1
41,Training,1408.26,1099.26,3.17,1784.9,93.4,212,0,0,1.496199131011963,1
42,Training,1366.44,1065.54,3.08,1731.24,95.28,212,0,0,1.5042355060577393,1
43,Training,1364.5,1059.37,3.06,1725.92,95.28,212,0,0,1.4744577407836914,1
44,Training,1336.2,1067.7,3.00,1708.81,95.28,212,0,0,1.339834213256836,1
45,Training,1321.6,1071.25,2.96,1699.64,94.81,212,0,0,1.5045182704925537,1
46,Training,1295.37,1058.34,2.89,1671.16,94.81,212,0,0,1.3617854118347168,1
47,Training,1280.43,1051.89,2.86,1655.52,94.81,212,0,0,1.3240563869476318,1
48,Training,1280.35,1049.72,2.85,1654.09,94.81,212,0,0,1.5104048252105713,1
49,Training,1275.93,1051.55,2.83,1651.83,95.28,212,0,0,1.5077946186065674,1
50,Training,1260.52,1050.85,2.79,1639.51,95.28,212,0,0,1.5186665058135986,1
51,Training,1243.28,1046.43,2.74,1623.45,95.28,212,0,0,1.5045018196105957,1
52,Training,1239.37,1032.92,2.73,1611.81,95.28,212,0,0,1.4501159191131592,1
53,Training,1213.96,982.08,2.65,1560.01,96.7,212,0,0,1.3418161869049072,1
54,Training,1199.8,990.28,2.60,1554.21,96.7,212,0,0,1.1877450942993164,1
55,Training,1212.7,1010.61,2.62,1577.07,96.23,212,0,0,1.2134337425231934,1
56,Training,1225.13,1044.49,2.64,1608.34,95.75,212,0,0,1.4839329719543457,1
57,Training,1233.73,1152.94,2.66,1686.74,94.81,212,0,0,1.5023462772369385,1
58,Training,1249.56,1131.67,2.70,1684.06,94.81,212,0,0,1.4638807773590088,1
59,Training,1259.33,1104.63,2.72,1673.43,95.28,212,0,0,1.4803822040557861,1
60,Training,1270.99,1101.17,2.73,1679.96,95.28,212,0,0,1.5298418998718262,1
61,Training,1288.02,1104.66,2.75,1695.15,94.81,212,0,0,1.4696860313415527,1
62,Training,1264.99,1098.03,2.69,1673.38,94.81,212,0,0,1.3708291053771973,1
63,Training,1242.8,1071.48,2.62,1639.27,94.81,212,0,0,1.334925651550293,1
64,Training,1254.06,1056.3,2.63,1638.04,95.28,212,0,0,1.069875717163086,1
65,Training,1254.25,1040.13,2.61,1627.85,95.75,212,0,0,1.515101671218872,1
